GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2018-10-15,Adam Watkin-Jones,Paul Orton,20,1570,D1,1,1942,0.9,0.9,1
2,2018-10-29,Adam Watkin-Jones,David Pinch,12,1718,D1,1,1948,1.68,0.78,2
3,2018-11-04,Adam Watkin-Jones,Matthew Davies,NA,2041,W1,0.5,1951,2.04,0.36,2.5
4,2018-11-12,Adam Watkin-Jones,Iolo Jones,2,2225,D1,0,1947,2.2,0.16,2.5
5,2018-11-27,Adam Watkin-Jones,Owain Davies,17,1594,D1,0,1926,3.09,0.89,2.5
6,2018-12-02,Adam Watkin-Jones,Adam May,NA,2000,W1,0.5,1928,3.51,0.42,3
1,2018-10-10,Awne Osinga,Cameron Westwood,16,1598,D1,0,1406,0.26,0.26,0
2,2018-10-12,Awne Osinga,John Ward,NA,1032,W1,1,1409,1.16,0.9,1
3,2018-10-13,Awne Osinga,Jonathan Jones,24,1493,D1,0.5,1412,1.55,0.39,1.5
4,2018-10-13,Awne Osinga,Bence Szakmany,NA,1238,E1,1,1421,2.28,0.73,2.5
5,2018-10-14,Awne Osinga,Joy Fursman,NA,1422,ECF,0,1405,2.77,0.49,2.5
6,2018-10-14,Awne Osinga,Klaus Tekniepe,NA,1230,ECF,0.5,1398,3.51,0.74,3
7,2018-10-23,Awne Osinga,Scott Hammett,23,1524,D1,0,1386,3.86,0.35,3
8,2018-10-27,Awne Osinga,Julie van Kemenade,9,1755,D1,0,1383,3.97,0.11,3
9,2018-10-27,Awne Osinga,Huw Jones,NA,1600,W1,0,1375,4.23,0.26,3
10,2018-10-27,Awne Osinga,Margaret Baron,52,850,D1,1,1378,5.13,0.9,4
11,2018-10-28,Awne Osinga,David Pinch,12,1718,D1,0,1373,5.27,0.14,4
12,2018-10-28,Awne Osinga,Ray Greenwood,44,1234,D1,0,1350,6.01,0.74,4
13,2018-11-01,Awne Osinga,Tony Haigh,7,1800,D1,0,1346,6.11,0.1,4
14,2018-11-27,Awne Osinga,James Colquhoun,42,1293,D1,1,1357,6.78,0.67,5
15,2018-12-10,Awne Osinga,John Miller,13,1629,D1,0,1350,7,0.22,5
1,2018-09-25,Ben Brewer,Scott Hammett,23,1524,D1,1,1451,0.37,0.37,1
2,2018-10-10,Ben Brewer,Daniel Hardman,40,1306,D1,1,1462,1.04,0.67,2
3,2018-10-15,Ben Brewer,Jon Coles,15,1600,D1,0.5,1469,1.32,0.28,2.5
4,2018-10-23,Ben Brewer,Jon Coles,15,1600,D1,1,1492,1.6,0.28,3.5
5,2018-10-27,Ben Brewer,David Buttell,NA,1831,W1,0,1489,1.7,0.1,3.5
6,2018-10-27,Ben Brewer,Margaret Baron,52,850,D1,1,1492,2.6,0.9,4.5
7,2018-10-27,Ben Brewer,David Pinch,12,1718,D1,1,1519,2.76,0.16,5.5
