GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2012-11-28,Adam Jenkins,Owen Bennett,66,1758,G3,0,1357,0.1,0.1,0
1,2012-09-15,Alice Tang,Emily Wang,NA,950,E1,1,1029,0.59,0.59,1
2,2012-09-15,Alice Tang,Daniel Siromani,NA,1202,E1,0.5,1037,0.85,0.26,1.5
3,2012-09-16,Alice Tang,Arjan Bolina,NA,1385,N1,0,1034,0.95,0.1,1.5
4,2012-09-16,Alice Tang,Windsor Lewis,NA,1193,E1,0.5,1041,1.22,0.27,2
5,2012-10-13,Alice Tang,Chris P Smith,NA,1482,ECF,0,1038,1.32,0.1,2
6,2012-10-13,Alice Tang,Margaret Baron,NA,850,D1,1,1047,2.04,0.72,3
7,2012-10-14,Alice Tang,Megan Richards,NA,1153,E1,0,1037,2.35,0.31,3
8,2012-10-14,Alice Tang,June Evans,NA,1173,W1,0,1028,2.64,0.29,3
9,2012-11-08,Alice Tang,Ana Marija Petauer,NA,1407,FIDE,0,1024,2.74,0.1,3
10,2012-11-09,Alice Tang,Aglaya Chepelnikova,NA,1500,Est,0,1021,2.84,0.1,3
11,2012-11-10,Alice Tang,Tereza Dejanovic,NA,1500,Est,0,1018,2.94,0.1,3
12,2012-11-11,Alice Tang,Liza Kisilak,NA,1500,Est,0.5,1031,3.04,0.1,3.5
13,2012-11-12,Alice Tang,Alja Baskovec,NA,1500,Est,0.5,1044,3.14,0.1,4
14,2012-11-12,Alice Tang,Minsun Ju,NA,1500,Est,1,1072,3.24,0.1,5
15,2012-11-14,Alice Tang,Sharanya Iyengar,NA,1900,Est,0,1069,3.34,0.1,5
16,2012-11-15,Alice Tang,Sasha Biryukov,NA,1500,Est,0,1066,3.44,0.1,5
17,2012-11-16,Alice Tang,Raisa Wanjiku Gitau,NA,1500,Est,1,1095,3.54,0.1,6
18,2012-11-17,Alice Tang,Laura Davidson,NA,1500,Est,1,1124,3.64,0.1,7
19,2012-11-18,Alice Tang,WCM Alara Balasaygun,NA,1500,Est,0,1120,3.74,0.1,7
1,2012-09-29,Andrew Owen,Owen Bennett,66,1500,G2,0.5,1821,0.88,0.88,0.5
2,2012-09-29,Andrew Owen,Steve Williams (Cwm),46,1679,G1,1,1828,1.58,0.7,1.5
3,2012-09-30,Andrew Owen,Peter Varley,2,2251,G1,0,1826,1.68,0.1,1.5
4,2012-09-30,Andrew Owen,Bob Hurn,NA,1676,E1,1,1833,2.39,0.71,2.5
5,2012-10-03,Andrew Owen,Paul Hatchett,8,2075,G1,0,1828,2.58,0.19,2.5
6,2012-10-07,Andrew Owen,Andrew Gibbons,NA,1958,W1,0,1820,2.91,0.33,2.5
7,2012-10-10,Andrew Owen,Wyn Howells,NA,1723,E2,1,1829,3.56,0.65,3.5
8,2012-10-17,Andrew Owen,Jeremy Jones,NA,1611,E2,1,1834,4.34,0.78,4.5
9,2012-10-24,Andrew Owen,Nigel Granville,28,1864,G1,0,1823,4.79,0.45,4.5
10,2012-10-31,Andrew Owen,Nigel Saunders,26,1881,G1,0.5,1825,5.22,0.43,5
11,2012-11-07,Andrew Owen,Jeremy Jones,NA,1611,E2,1,1830,6,0.78,6
12,2012-11-14,Andrew Owen,Nick Davies,38,1727,G1,0.5,1827,6.64,0.64,6.5
13,2012-11-21,Andrew Owen,Nigel Granville,28,1864,G1,0.5,1828,7.09,0.45,7
14,2012-11-27,Andrew Owen,Bob Hurn,NA,1601,E2,1,1833,7.88,0.79,8
15,2012-12-05,Andrew Owen,Rhys Bennett,34,1847,G3,1,1845,8.36,0.48,9
1,2012-09-25,Brian Heath,Gordon Cadden,32,1806,G1,0,1690,0.35,0.35,0
2,2012-10-09,Brian Heath,Robert Taylor,20,1942,G2,0,1685,0.54,0.19,0
3,2012-10-30,Brian Heath,Nigel Granville,28,1864,G1,0,1678,0.82,0.28,0
4,2012-11-21,Brian Heath,Hiram Rogers,57,1603,G1,0,1663,1.45,0.63,0
5,2012-11-27,Brian Heath,Tony Davies,76,1415,G1,0,1643,2.29,0.84,0
