GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2020-08-23,Daniel Kozusek,Jan Bartos,NA,2131,FIDE,1,2413,0.83,0.83,1
2,2020-08-24,Daniel Kozusek,Martin Kopriva,NA,2079,FIDE,1,2414,1.7,0.87,2
3,2020-08-25,Daniel Kozusek,Viktor Laznicka,NA,2638,FIDE,0,2412,1.91,0.21,2
4,2020-08-26,Daniel Kozusek,Martin Simet,NA,2194,FIDE,0.5,2409,2.69,0.78,2.5
5,2020-08-27,Daniel Kozusek,Jakub Kusa,NA,2239,FIDE,0.5,2407,3.42,0.73,3
6,2020-08-28,Daniel Kozusek,Michal Novotny,NA,2246,FIDE,1,2410,4.14,0.72,4
7,2020-08-29,Daniel Kozusek,Martin Hollan,NA,2346,FIDE,0.5,2409,4.73,0.59,4.5
8,2020-08-30,Daniel Kozusek,Peter Michalik,NA,2593,FIDE,0.5,2411,4.99,0.26,5
1,2020-08-08,Alex Bullen,Josef Horyna,NA,1760,FIDE,1,2180,0.9,0.9,1
2,2020-08-09,Alex Bullen,Matej Hrabusa,NA,2350,FIDE,0,2175,1.17,0.27,1
3,2020-08-09,Alex Bullen,Michael Pikalow,NA,1933,FIDE,1,2178,1.97,0.8,2
4,2020-08-10,Alex Bullen,Viatcheslav Pozdnjakov,NA,2300,FIDE,0,2173,2.3,0.33,2
5,2020-08-10,Alex Bullen,Juraj Steiner,NA,1953,FIDE,0.5,2169,3.09,0.79,2.5
6,2020-08-12,Alex Bullen,Adam Josef Ret,NA,2002,FIDE,0.5,2165,3.82,0.73,3
7,2020-08-13,Alex Bullen,Vladislav Machala,NA,1983,FIDE,1,2169,4.57,0.75,4
8,2020-08-14,Alex Bullen,Jakub Stinka,NA,2299,FIDE,0,2163,4.9,0.33,4
9,2020-08-15,Alex Bullen,Karel Brozka,NA,1991,FIDE,1,2167,5.65,0.75,5
10,2020-08-23,Alex Bullen,Ladislav Molnar,NA,1698,FIDE,0.5,2161,6.55,0.9,5.5
11,2020-08-24,Alex Bullen,Robin J Nandi,NA,2006,ECF,1,2165,7.28,0.73,6.5
12,2020-08-25,Alex Bullen,Lubomir Chudek,NA,1785,FIDE,1,2167,8.18,0.9,7.5
13,2020-08-25,Alex Bullen,Jan Bechynsky,NA,1955,FIDE,0.5,2162,8.96,0.78,8
14,2020-08-26,Alex Bullen,Jiri Hodan,NA,1871,FIDE,1,2165,9.81,0.85,9
15,2020-08-27,Alex Bullen,Zdenek Chval,NA,1676,FIDE,1,2166,10.71,0.9,10
16,2020-08-28,Alex Bullen,Matous Eret,NA,2195,FIDE,0,2159,11.19,0.48,10
17,2020-08-29,Alex Bullen,Zdenek Haba,NA,2163,FIDE,0,2150,11.71,0.52,10
18,2020-08-30,Alex Bullen,Lucian Vantuch,NA,1966,FIDE,1,2154,12.48,0.77,11
