name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Jose Camacho Collados,E1,NA,2461,IM,NA,e1 jose camacho collados,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20jose%20camacho%20collados,jose camacho collados
Daniel Kozusek,E1,NA,2411,FM,NA,e1 daniel kozusek,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20daniel%20kozusek,daniel kozusek
Ioan Rees,E1,NA,2338,FM,NA,e1 ioan rees,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20ioan%20rees,ioan rees
Grzegorz Toczek,E1,NA,2326,FM,2021-11-21,e1 grzegorz toczek,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20grzegorz%20toczek,grzegorz toczek
Carl Strugnell,E1,NA,2268,FM,2021-07-13,e1 carl strugnell,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20carl%20strugnell,carl strugnell
Tim Kett,E1,NA,2246,CM,2021-11-28,e1 tim kett,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20tim%20kett,tim kett
Olivia Smith,E1,NA,2172,WFM,2021-11-18,e1 olivia smith,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20olivia%20smith,olivia smith
Tom Brown,E1,NA,2165,NA,2021-11-21,e1 tom brown,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20tom%20brown,tom brown
Alex Bullen,E1,NA,2154,CM,2021-11-21,e1 alex bullen,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20alex%20bullen,alex bullen
Pete Heaven,E1,NA,2114,NA,2021-11-21,e1 pete heaven,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20pete%20heaven,pete heaven
John Fletcher,E1,NA,2091,NA,2021-11-21,e1 john fletcher,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20john%20fletcher,john fletcher
Allan Pleasants,E1,NA,2088,NA,2021-11-21,e1 allan pleasants,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20allan%20pleasants,allan pleasants
John Trevelyan,E1,NA,2081,NA,2021-11-21,e1 john trevelyan,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20john%20trevelyan,john trevelyan
Alex Freeland,E1,NA,2066,NA,2021-11-21,e1 alex freeland,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20alex%20freeland,alex freeland
Gareth Yeo,E1,NA,2065,NA,NA,e1 gareth yeo,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20gareth%20yeo,gareth yeo
Derek Jones,E1,NA,2045,NA,2021-11-17,e1 derek jones,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20derek%20jones,derek jones
Lee Davis,E1,NA,2038,NA,2021-11-21,e1 lee davis,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20lee%20davis,lee davis
Nigel Ralphs,E1,NA,2035,NA,2021-11-17,e1 nigel ralphs,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20nigel%20ralphs,nigel ralphs
Joe Fathallah,E1,NA,2031,NA,2021-11-28,e1 joe fathallah,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20joe%20fathallah,joe fathallah
David Perrett,E1,NA,2016,NA,2021-11-21,e1 david perrett,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20david%20perrett,david perrett
Jonathan James,E1,NA,2015,NA,NA,e1 jonathan james,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20jonathan%20james,jonathan james
Matt Staniforth,E1,NA,2015,NA,NA,e1 matt staniforth,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20matt%20staniforth,matt staniforth
John D Thornton,E1,NA,2014,NA,NA,e1 john d thornton,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20john%20d%20thornton,john d thornton
Kevin Evans,E1,NA,2010,NA,NA,e1 kevin evans,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20kevin%20evans,kevin evans
Peter Davies,E1,NA,1992,NA,2021-11-21,e1 peter davies,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20peter%20davies,peter davies
Sam Jukes,E1,NA,1991,NA,2021-11-28,e1 sam jukes,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20sam%20jukes,sam jukes
David Tomboline,E1,NA,1990,NA,NA,e1 david tomboline,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20david%20tomboline,david tomboline
Alan Spice,E1,NA,1989,NA,NA,e1 alan spice,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20alan%20spice,alan spice
James Thomas,E1,NA,1971,NA,NA,e1 james thomas,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20james%20thomas,james thomas
Matthew Davies,E1,NA,1964,NA,2021-11-21,e1 matthew davies,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20matthew%20davies,matthew davies
Benjamin Choo Yin,E1,NA,1953,NA,NA,e1 benjamin choo yin,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20benjamin%20choo%20yin,benjamin choo yin
Barbara Graczyk-Gibiec,E1,NA,1928,NA,NA,e1 barbara graczyk-gibiec,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20barbara%20graczyk-gibiec,barbara graczyk-gibiec
Daniel Wilmot,E1,NA,1928,NA,NA,e1 daniel wilmot,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20daniel%20wilmot,daniel wilmot
Calum Harris,E1,NA,1925,NA,NA,e1 calum harris,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20calum%20harris,calum harris
David Llewellyn,E1,NA,1925,NA,2021-11-17,e1 david llewellyn,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20david%20llewellyn,david llewellyn
John McGregor,E1,NA,1917,NA,2021-11-02,e1 john mcgregor,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20john%20mcgregor,john mcgregor
Gwyn Havard,E1,NA,1906,NA,2021-11-22,e1 gwyn havard,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20gwyn%20havard,gwyn havard
David Robinson,E1,NA,1902,NA,NA,e1 david robinson,https://www.welshchessunion.uk/Grading/xarchive/JulyDec2021/playerDetailView.php?key=e1%20david%20robinson,david robinson
