name,zone,club,grade,title,last_played,player_key,profile_url
Stephen Paterson,N1,NA,1204,NA,NA,n1 stephen paterson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20stephen%20paterson
Roland Humphries,E1,NA,1203,NA,2022-03-29,e1 roland humphries,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20roland%20humphries
John Ward,W1,NA,1203,NA,NA,w1 john ward,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20john%20ward
Harri Gilbert,G1,NA,1201,NA,NA,g1 harri gilbert,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20harri%20gilbert
Marc Asensio,W1,NA,1200,NA,NA,w1 marc asensio,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20marc%20asensio
Steffan Mon,E1,NA,1200,NA,2022-06-07,e1 steffan mon,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20steffan%20mon
Rio Northey,E1,NA,1200,NA,NA,e1 rio northey,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20rio%20northey
Mark Summers,G1,NA,1199,NA,NA,g1 mark summers,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20mark%20summers
Alex Chavez,E1,NA,1198,NA,NA,e1 alex chavez,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20alex%20chavez
Rhys Matthews,E1,NA,1197,NA,2022-05-30,e1 rhys matthews,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20rhys%20matthews
Gwyn Evans,D1,NA,1192,NA,NA,d1 gwyn evans,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20gwyn%20evans
Leon Morgan,E1,NA,1192,NA,NA,e1 leon morgan,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20leon%20morgan
Damien Clarke,D1,NA,1191,NA,NA,d1 damien clarke,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20damien%20clarke
Steffan Griffiths,G1,NA,1186,NA,NA,g1 steffan griffiths,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20steffan%20griffiths
Harish Chockalingam,E1,NA,1184,NA,NA,e1 harish chockalingam,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20harish%20chockalingam
Byron Jones,W1,NA,1179,NA,2022-03-22,w1 byron jones,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20byron%20jones
Maximos Pento,N1,NA,1179,NA,NA,n1 maximos pento,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20maximos%20pento
Duarte Bota,N1,NA,1178,NA,NA,n1 duarte bota,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20duarte%20bota
