name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Adam Jenkins,G1,NA,1350,NA,NA,p73,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p73.php,adam jenkins
Adrian Bishop,G1,NA,1577,NA,NA,p56,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p56.php,adrian bishop
Alan Coles,G1,NA,1330,NA,NA,p77,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p77.php,alan coles
Alex Kent,G1,NA,1613,NA,NA,p50,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p50.php,alex kent
Alun Thompson,G1,NA,1339,NA,NA,p75,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p75.php,alun thompson
Andrew Bates,G1,NA,2031,NA,NA,p9,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p9.php,andrew bates
Andrew Bucknell,G1,NA,1499,NA,NA,p59,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p59.php,andrew bucknell
Andrew Owen,G1,NA,1769,NA,NA,p31,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p31.php,andrew owen
Art Makowski,G1,NA,1208,NA,NA,p85,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p85.php,art makowski
Bob Stanworth,G1,NA,1422,NA,NA,p65,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p65.php,bob stanworth
Brian Gregory,G1,NA,1199,NA,NA,p86,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p86.php,brian gregory
Brian Heath,G1,NA,1693,NA,NA,p38,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p38.php,brian heath
Brian Hill,G1,NA,1294,NA,NA,p81,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p81.php,brian hill
Brian Hogg,G1,NA,1340,NA,NA,p74,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p74.php,brian hogg
Brian Ross,G1,NA,1593,NA,NA,p54,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p54.php,brian ross
CJ de Mooi,G1,NA,1881,NA,NA,p21,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p21.php,cj de mooi
Callum Kinloch,G1,NA,1363,NA,NA,p72,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p72.php,callum kinloch
Cameron James,G1,NA,1176,NA,NA,p88,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p88.php,cameron james
Chris Dixon,G1,NA,1953,NA,NA,p17,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p17.php,chris dixon
Colin Gilbert,G1,NA,1879,NA,NA,p22,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p22.php,colin gilbert
Colin Jeffries,G1,NA,1336,NA,NA,p76,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p76.php,colin jeffries
Dave Connolly,G1,NA,1594,NA,NA,p53,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p53.php,dave connolly
Dave Green,G1,NA,1423,NA,NA,p64,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p64.php,dave green
Dave Roberts,G1,NA,1601,NA,NA,p52,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p52.php,dave roberts
Dave Turner,G1,NA,2057,NA,NA,p6,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p6.php,dave turner
Dave Williams,G1,NA,1602,NA,NA,p51,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p51.php,dave williams
David Bucknell,G1,NA,1467,NA,NA,p61,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p61.php,david bucknell
David Cleverly,G1,NA,1766,NA,NA,p32,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p32.php,david cleverly
David Coulton,G1,NA,1200,NA,NA,p100,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p100.php,david coulton
David M Roberts,G1,NA,1784,NA,NA,p29,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p29.php,david m roberts
David Vaughan,G1,NA,1999,NA,NA,p15,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p15.php,david vaughan
Dennis O. Jones,G1,NA,1679,NA,NA,p42,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p42.php,dennis o. jones
Farhan Shataly,G1,NA,1664,NA,NA,p44,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p44.php,farhan shataly
Frank May,G1,NA,2116,NA,NA,p5,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p5.php,frank may
Fred Brown,G1,NA,1904,NA,NA,p19,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p19.php,fred brown
Gary Thomas,G1,NA,1893,NA,NA,p20,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p20.php,gary thomas
George Davies,G1,NA,950,NA,NA,p98,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p98.php,george davies
Gordon Cadden,G1,NA,1799,NA,NA,p28,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p28.php,gordon cadden
Graham Pugh,G1,NA,1159,NA,NA,p89,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p89.php,graham pugh
Gunther Seitner,G1,NA,1015,NA,NA,p95,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p95.php,gunther seitner
Harry Duff,G1,NA,1627,NA,NA,p48,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p48.php,harry duff
Harry McKoy,G1,NA,1004,NA,NA,p96,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p96.php,harry mckoy
Hiram Rogers,G1,NA,1400,NA,NA,p102,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p102.php,hiram rogers
Howard James,G1,NA,1286,NA,NA,p82,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p82.php,howard james
Ian White,G1,NA,1951,NA,NA,p18,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p18.php,ian white
Jac Thomas,G1,NA,2025,NA,NA,p12,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p12.php,jac thomas
Jane Pennock,G1,NA,1302,NA,NA,p80,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p80.php,jane pennock
John Arthur,G1,NA,1637,NA,NA,p47,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p47.php,john arthur
John Marshall,G1,NA,1843,NA,NA,p23,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p23.php,john marshall
John O'Shea,G1,NA,1585,NA,NA,p55,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p55.php,john o'shea
John Oliver,G1,NA,1328,NA,NA,p78,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p78.php,john oliver
John Waterfield,G1,NA,2011,NA,NA,p14,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p14.php,john waterfield
Jonathan Gilbert,G1,NA,2033,NA,NA,p8,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p8.php,jonathan gilbert
Joseff Thomas,G1,NA,2127,NA,NA,p4,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p4.php,joseff thomas
Kelland Chambers,G1,NA,889,NA,NA,p99,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p99.php,kelland chambers
Kevin Thomas,G1,NA,1977,NA,NA,p16,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p16.php,kevin thomas
Lanre Bammeke,G1,NA,1688,NA,NA,p101,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p101.php,lanre bammeke
Luke Kostanjsek,G1,NA,1541,NA,NA,p58,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p58.php,luke kostanjsek
Lyn Holland,G1,NA,1389,NA,NA,p69,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p69.php,lyn holland
Mark Adams,G1,NA,2050,NA,NA,p7,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p7.php,mark adams
Mark Cooke,G1,NA,1739,NA,NA,p34,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p34.php,mark cooke
Mark Emblem,G1,NA,1448,NA,NA,p62,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p62.php,mark emblem
Mark Summers,G1,NA,1312,NA,NA,p79,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p79.php,mark summers
Mathew Gregory,G1,NA,1688,NA,NA,p41,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p41.php,mathew gregory
Matthew Kinloch,G1,NA,1367,NA,NA,p71,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p71.php,matthew kinloch
Megan Owens,G1,NA,1777,NA,NA,p30,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p30.php,megan owens
Mike Kilner,G1,NA,1624,NA,NA,p49,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p49.php,mike kilner
Nicholas Watson,G1,NA,1024,NA,NA,p94,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p94.php,nicholas watson
Nick Davies,G1,NA,1820,NA,NA,p26,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p26.php,nick davies
Nigel Granville,G1,NA,1836,NA,NA,p24,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p24.php,nigel granville
Owain Davies,G1,NA,1125,NA,NA,p92,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p92.php,owain davies
Paul Hatchett,G1,NA,2028,NA,NA,p10,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p10.php,paul hatchett
Paul Kostanjsek,G1,NA,1374,NA,NA,p70,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p70.php,paul kostanjsek
Paul O'Neil,G1,NA,2222,NA,NA,p3,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p3.php,paul o'neil
Peter Downing,G1,NA,1156,NA,NA,p90,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p90.php,peter downing
Peter Varley,G1,NA,2257,NA,NA,p1,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p1.php,peter varley
Phil Smith,G1,NA,1429,NA,NA,p63,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p63.php,phil smith
Richard Batey,G1,NA,1822,NA,NA,p25,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p25.php,richard batey
Richard Miles,G1,NA,2019,NA,NA,p13,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p13.php,richard miles
Robert Muza,G1,NA,1400,NA,NA,p105,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p105.php,robert muza
Robert Taylor,G1,NA,2027,NA,NA,p11,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p11.php,robert taylor
Roger Lockyer,G1,NA,1196,NA,NA,p87,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p87.php,roger lockyer
Ron Williams,G1,NA,1714,NA,NA,p36,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p36.php,ron williams
Sam Bassett,G1,NA,1398,NA,NA,p68,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p68.php,sam bassett
Sam Lazarus,G1,NA,1806,NA,NA,p27,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p27.php,sam lazarus
Sam Turner,G1,NA,1549,NA,NA,p57,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p57.php,sam turner
Simon Butler,G1,NA,1488,NA,NA,p60,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p60.php,simon butler
Simon Tang,G1,NA,1413,NA,NA,p66,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p66.php,simon tang
Steve Horrell,G1,NA,1704,NA,NA,p37,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p37.php,steve horrell
Steve Vickery,G1,NA,1693,NA,NA,p39,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p39.php,steve vickery
Steve Williams (Cwm),G1,NA,1653,NA,NA,p46,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p46.php,steve williams (cwm)
Steve Williams (Mal),G1,NA,1730,NA,NA,p35,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p35.php,steve williams (mal)
Stuart Oatley,G1,NA,998,NA,NA,p97,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p97.php,stuart oatley
Sven Zeidler,G1,NA,2227,NA,NA,p2,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p2.php,sven zeidler
Terry Hill,G1,NA,1688,NA,NA,p40,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2009/p40.php,terry hill
