name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
James Lavender,G1,NA,1951,NA,NA,26,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=26,james lavender
Jamie Bell-Thomas,G1,NA,1399,NA,NA,77,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=77,jamie bell-thomas
Jane Richmond,G1,NA,2177,NA,NA,4,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=4,jane richmond
Joe Smith,G1,NA,1010,NA,NA,101,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=101,joe smith
John Arthur,G1,NA,1516,NA,NA,71,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=71,john arthur
John E Syner,G1,NA,2026,NA,NA,19,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=19,john e syner
John Nash,G1,NA,1536,NA,NA,69,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=69,john nash
John O'Shea,G1,NA,1638,NA,NA,58,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=58,john o'shea
John Waterfield,G1,NA,1997,NA,NA,22,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=22,john waterfield
Jonathan Dyment,G1,NA,1545,NA,NA,67,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=67,jonathan dyment
Jonathan Gilbert,G1,NA,2096,NA,NA,10,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=10,jonathan gilbert
Jordan Lane,G1,NA,1000,NA,NA,103,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=103,jordan lane
Joshua Abramsky,G1,NA,1229,NA,NA,89,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=89,joshua abramsky
Karam Abdul-Hamed,G1,NA,866,NA,NA,112,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=112,karam abdul-hamed
Leslie Blohm,G1,NA,1971,NA,NA,24,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=24,leslie blohm
Lewis Perham,G1,NA,1000,NA,NA,105,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=105,lewis perham
Luke Kostanjsek,G1,NA,2065,NA,NA,12,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=12,luke kostanjsek
Lyn Holland,G1,NA,1602,NA,NA,61,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=61,lyn holland
Lynda Roberts,G1,NA,1932,NA,NA,29,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=29,lynda roberts
Madeleine Smith,G1,NA,1000,NA,NA,108,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=108,madeleine smith
Mark Adams,G1,NA,2049,NA,NA,15,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=15,mark adams
Mark Cooke,G1,NA,1665,NA,NA,50,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=50,mark cooke
Mark Emblem,G1,NA,1427,NA,NA,74,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=74,mark emblem
Mark Summers,G1,NA,1358,NA,NA,81,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=81,mark summers
Matthew Hooper,G1,NA,1000,NA,NA,106,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=106,matthew hooper
Max Lazarus,G1,NA,1080,NA,NA,94,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=94,max lazarus
Michael Burger,G1,NA,1107,NA,NA,93,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=93,michael burger
Neil Stevenson,G1,NA,876,NA,NA,110,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=110,neil stevenson
Nick Davies,G1,NA,1721,NA,NA,45,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=45,nick davies
Nigel Granville,G1,NA,1823,NA,NA,39,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=39,nigel granville
Nigel Saunders,G1,NA,1912,NA,NA,32,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=32,nigel saunders
Nyasha Katsande,G1,NA,1866,NA,NA,34,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=34,nyasha katsande
Owain Davies,G1,NA,1573,NA,NA,63,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=63,owain davies
Owen Bennett,G1,NA,1884,NA,NA,33,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=33,owen bennett
Owen S Phillips,G1,NA,2027,NA,NA,18,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=18,owen s phillips
