name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Adam Davies,W1,NA,1725,NA,NA,33,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=33,adam davies
Adam May,W1,NA,1929,NA,NA,19,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=19,adam may
Adrian Davies,W1,NA,1709,NA,NA,36,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=36,adrian davies
Akshay Chugh,W1,NA,850,NA,NA,131,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=131,akshay chugh
Alan Bennett,W1,NA,2124,NA,NA,4,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=4,alan bennett
Alan Rosser,W1,NA,1344,NA,NA,69,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=69,alan rosser
Alan Young,W1,NA,2065,NA,NA,5,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=5,alan young
Albert Easton,W1,NA,1604,NA,NA,46,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=46,albert easton
Aled George,W1,NA,1556,NA,NA,52,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=52,aled george
Allan Pleasants,W1,NA,2155,NA,NA,3,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=3,allan pleasants
Alvin Benny,W1,NA,860,NA,NA,118,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=118,alvin benny
Alwin Thomas,W1,NA,1463,NA,NA,58,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=58,alwin thomas
Andrew Gibbons,W1,NA,1997,NA,NA,13,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=13,andrew gibbons
Andrew Smith,W1,NA,1662,NA,NA,41,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=41,andrew smith
Angharad Jenkins,W1,NA,1095,NA,NA,100,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=100,angharad jenkins
Barry Lewis,W1,NA,1580,NA,NA,50,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=50,barry lewis
Bill Flew,W1,NA,1459,NA,NA,60,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=60,bill flew
Bob Moore,W1,NA,1973,NA,NA,16,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=16,bob moore
Brian Morris,W1,NA,850,NA,NA,124,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2013/pr.php?id=124,brian morris
