name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Rob Saunders,W1,NA,2008,NA,2020-02-27,w1 rob saunders,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20rob%20saunders,rob saunders
Douglas Spencer,G1,NA,2007,NA,2020-01-21,g1 douglas spencer,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20douglas%20spencer,douglas spencer
Nigel Saunders,G1,NA,2001,NA,2020-03-04,g1 nigel saunders,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20nigel%20saunders,nigel saunders
Peter Davies,E1,NA,1999,NA,2020-02-09,e1 peter davies,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20peter%20davies,peter davies
Kevin Evans,E1,NA,1999,NA,2020-01-27,e1 kevin evans,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20kevin%20evans,kevin evans
Dave Turner,G1,NA,1997,NA,2020-03-11,g1 dave turner,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20dave%20turner,dave turner
Andrew Gibbons,W1,NA,1992,NA,2020-03-02,w1 andrew gibbons,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20andrew%20gibbons,andrew gibbons
David Tomboline,E1,NA,1990,NA,NA,e1 david tomboline,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20david%20tomboline,david tomboline
Alan Spice,E1,NA,1989,NA,NA,e1 alan spice,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20alan%20spice,alan spice
John Waterfield,G1,NA,1984,NA,2020-02-27,g1 john waterfield,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20john%20waterfield,john waterfield
Leslie Blohm,G1,NA,1983,NA,2020-02-19,g1 leslie blohm,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20leslie%20blohm,leslie blohm
Richard Miles,G1,NA,1981,NA,2020-03-12,g1 richard miles,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20richard%20miles,richard miles
David Llewellyn,E1,NA,1980,NA,2020-03-10,e1 david llewellyn,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20david%20llewellyn,david llewellyn
Moss McCarthy,W1,NA,1978,NA,2020-03-04,w1 moss mccarthy,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20moss%20mccarthy,moss mccarthy
Peter Bevan,W1,NA,1974,NA,2020-03-12,w1 peter bevan,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20peter%20bevan,peter bevan
James Thomas,E1,NA,1971,NA,NA,e1 james thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20james%20thomas,james thomas
Daniel Wilmot,E1,NA,1970,NA,2020-03-10,e1 daniel wilmot,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20daniel%20wilmot,daniel wilmot
John McGregor,E1,NA,1964,NA,2020-03-10,e1 john mcgregor,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20john%20mcgregor,john mcgregor
