GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2012-11-20,Adrian Cucu,Imogen Camp,NA,1463,N2,0,1194,0.18,0.18,0
1,2012-08-17,Amrit Bolina,Flavius-Gabriel Stroe,NA,1200,Est,0,896,0.14,0.14,0
2,2012-08-18,Amrit Bolina,Johannes Schade,NA,1200,Est,0,891,0.28,0.14,0
3,2012-08-19,Amrit Bolina,David Slivka,NA,1200,Est,0,887,0.42,0.14,0
4,2012-08-20,Amrit Bolina,Ondrej Skypala,NA,1200,Est,0,882,0.56,0.14,0
5,2012-08-21,Amrit Bolina,Nemanja Vuksan,NA,1200,Est,0,878,0.7,0.14,0
6,2012-08-22,Amrit Bolina,Ilya Mukhamedzarifov,NA,1200,Est,0,873,0.84,0.14,0
7,2012-08-23,Amrit Bolina,Tuure Maki-Uuro,NA,1200,Est,0,869,0.98,0.14,0
8,2012-08-24,Amrit Bolina,Adam Svanda,NA,1200,Est,0,864,1.12,0.14,0
1,2010-06-08,Andrew Camp,Douglas Bramley,NA,1586,ECF,1,1370,0.2,0.2,1
2,2010-06-09,Andrew Camp,Anthony Doust,NA,1530,ECF,0,1361,0.46,0.26,1
3,2010-06-09,Andrew Camp,WE Bill Upton,NA,1530,ECF,0.5,1369,0.72,0.26,1.5
4,2010-06-10,Andrew Camp,David Scorer,NA,1642,ECF,0.5,1380,0.87,0.15,2
5,2010-06-10,Andrew Camp,James Waddington,NA,1538,ECF,1,1404,1.12,0.25,3
6,2012-06-30,Andrew Camp,Nicholas Flaherty,NA,1690,ECF,0,1401,1.23,0.11,3
7,2012-06-30,Andrew Camp,Thomas Robson,NA,1242,ECF,1,1412,1.87,0.64,4
8,2012-07-01,Andrew Camp,Timothy S Allen,NA,1674,ECF,0.5,1424,1.99,0.12,4.5
9,2012-07-01,Andrew Camp,Colin J Gardiner,NA,1682,ECF,0,1420,2.11,0.12,4.5
10,2012-07-23,Andrew Camp,Timothy S Allen,NA,1658,ECF,0.5,1432,2.24,0.13,5
11,2012-07-24,Andrew Camp,Geoff J Ainsley,NA,1610,ECF,0.5,1443,2.41,0.17,5.5
12,2012-07-25,Andrew Camp,Alan M Llewellyn,NA,1802,ECF,0.5,1456,2.51,0.1,6
13,2012-07-26,Andrew Camp,John Eagers,NA,1674,ECF,0.5,1468,2.63,0.12,6.5
14,2012-07-27,Andrew Camp,Freddie W Keen,NA,1634,ECF,0,1463,2.78,0.15,6.5
15,2012-07-30,Andrew Camp,Steve J Larkin,NA,1506,ECF,0,1454,3.06,0.28,6.5
16,2012-07-30,Andrew Camp,Hannah Dale,NA,1946,ECF,0,1451,3.16,0.1,6.5
