name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Adam Jenkins,G1,NA,1350,NA,NA,p79,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p79.php,adam jenkins
Adrian Bishop,G1,NA,1577,NA,NA,p58,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p58.php,adrian bishop
Alan Coles,G1,NA,1330,NA,NA,p83,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p83.php,alan coles
Alex Kent,G1,NA,1613,NA,NA,p54,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p54.php,alex kent
Alun Thompson,G1,NA,1277,NA,NA,p90,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p90.php,alun thompson
Andrew Bates,G1,NA,2031,NA,NA,p11,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p11.php,andrew bates
Andrew Bucknell,G1,NA,1499,NA,NA,p63,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p63.php,andrew bucknell
Andrew Owen,G1,NA,1824,NA,NA,p29,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p29.php,andrew owen
Art Makowski,G1,NA,1208,NA,NA,p92,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p92.php,art makowski
Bob Stanworth,G1,NA,1422,NA,NA,p69,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p69.php,bob stanworth
Brian Gregory,G1,NA,1199,NA,NA,p93,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p93.php,brian gregory
Brian Heath,G1,NA,1686,NA,NA,p43,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p43.php,brian heath
Brian Hill,G1,NA,1277,NA,NA,p89,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p89.php,brian hill
Brian Hogg,G1,NA,1340,NA,NA,p81,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p81.php,brian hogg
Brian Ross,G1,NA,1520,NA,NA,p61,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p61.php,brian ross
CJ de Mooi,G1,NA,1877,NA,NA,p24,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p24.php,cj de mooi
Callum Kinloch,G1,NA,1363,NA,NA,p78,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p78.php,callum kinloch
Cameron James,G1,NA,1169,NA,NA,p95,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p95.php,cameron james
Chris Dixon,G1,NA,1911,NA,NA,p21,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p21.php,chris dixon
Colin Gilbert,G1,NA,1905,NA,NA,p22,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p22.php,colin gilbert
Colin Jeffries,G1,NA,1336,NA,NA,p82,https://www.welshchessunion.uk/Grading/xarchive/gwent/JanJune2010/p82.php,colin jeffries
