GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2019-01-07,Adam Haunch,Nigel G Hughes,NA,1142,ECF,1,1046,0.32,0.32,1
2,2019-01-14,Adam Haunch,Richard Drew,NA,1370,N1,0,1041,0.42,0.1,1
3,2019-02-18,Adam Haunch,Chris Goy,NA,1334,ECF,0,1035,0.55,0.13,1
4,2019-03-04,Adam Haunch,Ben Newnham,NA,958,ECF,0,1007,1.13,0.58,1
5,2019-04-15,Adam Haunch,Susan F Parry,NA,1284,N1,1,1047,1.3,0.17,2
1,2019-06-04,Alan Valentine,Peter Coutts,NA,1338,N1,0,1190,0.31,0.31,0
1,2019-01-21,Anton Petkov,John Bowers,NA,1760,N1,0,1765,0.52,0.52,0
2,2019-01-28,Anton Petkov,Filip Molnar,NA,1641,N1,1,1772,1.2,0.68,1
3,2019-02-18,Anton Petkov,Barrie Wells,NA,1701,N1,1,1782,1.81,0.61,2
4,2019-03-04,Anton Petkov,Timothy J Soar,NA,1676,N1,0,1766,2.45,0.64,2
5,2019-03-25,Anton Petkov,David Jameson,NA,2168,N1,0,1764,2.55,0.1,2
6,2019-05-11,Anton Petkov,Andrew P E Smith,NA,1662,ECF,0,1748,3.21,0.66,2
7,2019-05-11,Anton Petkov,Barrie Wells,NA,1701,N1,1,1757,3.82,0.61,3
8,2019-05-12,Anton Petkov,Richard Szwajkun,NA,1694,ECF,0.5,1754,4.44,0.62,3.5
9,2019-05-12,Anton Petkov,John K Robinson,NA,1886,ECF,1,1770,4.79,0.35,4.5
1,2019-01-08,Barrie Wells,Michael Williams,NA,1646,ECF,0,1687,0.58,0.58,0
2,2019-02-04,Barrie Wells,Roger L Stephens,NA,1814,ECF,1,1703,0.92,0.34,1
3,2019-02-18,Barrie Wells,Anton Petkov,NA,1777,N1,0,1694,1.31,0.39,1
4,2019-03-12,Barrie Wells,Ray Williams,NA,1838,ECF,0,1686,1.62,0.31,1
5,2019-03-19,Barrie Wells,Jack Yang,NA,1502,ECF,0.5,1680,2.38,0.76,1.5
6,2019-04-30,Barrie Wells,Domantas Kirklys,NA,1390,N1,0,1659,3.24,0.86,1.5
7,2019-05-10,Barrie Wells,John P J Taylor,NA,1846,ECF,0,1652,3.54,0.3,1.5
8,2019-05-11,Barrie Wells,Ray Williams,NA,1838,ECF,0.5,1657,3.85,0.31,2
9,2019-05-11,Barrie Wells,Anton Petkov,NA,1777,N1,0,1647,4.24,0.39,2
10,2019-05-12,Barrie Wells,Michael Whale,NA,1753,N1,0.5,1649,4.67,0.43,2.5
11,2019-05-12,Barrie Wells,Haydn Parry,NA,1746,N1,0,1638,5.11,0.44,2.5
12,2019-06-21,Barrie Wells,Duncan Williams,NA,1850,Est,0,1631,5.41,0.3,2.5
13,2019-06-22,Barrie Wells,Matthew Francis,NA,1712,D1,0.5,1632,5.89,0.48,3
14,2019-06-22,Barrie Wells,Huw Davies,NA,1642,N1,1,1642,6.47,0.58,4
15,2019-06-23,Barrie Wells,Peter S Fisher,NA,1759,N1,1,1656,6.89,0.42,5
16,2019-06-23,Barrie Wells,Ray Williams,NA,1838,ECF,0.5,1660,7.2,0.31,5.5
1,2019-01-14,Catriona Coutts,Michael Whale,NA,1753,N1,0,1532,0.22,0.22,0
2,2019-01-21,Catriona Coutts,Mike Blake,NA,1547,N1,0.5,1532,0.71,0.49,0.5
3,2019-02-19,Catriona Coutts,Wayne McFadden,NA,1362,N1,0.5,1525,1.44,0.73,1
4,2019-03-25,Catriona Coutts,John Bowers,NA,1760,N1,0,1518,1.66,0.22,1
5,2019-03-30,Catriona Coutts,Owain Davies,NA,1673,D1,0.5,1524,1.98,0.32,1.5
6,2019-06-22,Catriona Coutts,Martin K Cockerill,NA,1414,ECF,1,1534,2.65,0.67,2.5
7,2019-06-22,Catriona Coutts,Ken Gorman,NA,1494,ECF,0,1516,3.21,0.56,2.5
8,2019-06-23,Catriona Coutts,Paul Taylor,NA,1564,N2,0.5,1518,3.67,0.46,3
