GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2019-01-14,Adam Watkin-Jones,Jon Coles,16,1593,D1,1,1931,0.88,0.88,1
2,2019-01-22,Adam Watkin-Jones,Joshua Brewer,29,1400,D1,1,1933,1.78,0.9,2
3,2019-01-27,Adam Watkin-Jones,Nigel Saunders,NA,1973,G1,0.5,1935,2.22,0.44,2.5
4,2019-02-04,Adam Watkin-Jones,Colin Denham,14,1630,D1,1,1938,3.07,0.85,3.5
5,2019-03-04,Adam Watkin-Jones,Scott Hammett,21,1533,D1,1,1941,3.97,0.9,4.5
6,2019-03-10,Adam Watkin-Jones,Jake Hurley,NA,1908,E1,0,1928,4.5,0.53,4.5
7,2019-03-19,Adam Watkin-Jones,Tony Haigh,7,1788,D1,1,1935,5.19,0.69,5.5
8,2019-03-25,Adam Watkin-Jones,Mark Paffard,9,1739,D1,0.5,1929,5.94,0.75,6
9,2019-04-09,Adam Watkin-Jones,Daniel Hardman,35,1324,D1,1,1932,6.84,0.9,7
10,2019-05-13,Adam Watkin-Jones,David Buttell,NA,1888,W2,1,1942,7.4,0.56,8
1,2019-01-04,Awne Osinga,Robert Tipping,NA,949,E1,1,1353,0.9,0.9,1
2,2019-01-05,Awne Osinga,Alex Lawrence,NA,945,E1,1,1356,1.8,0.9,2
3,2019-01-05,Awne Osinga,Martin Ricketts,NA,1423,E1,0.5,1360,2.2,0.4,2.5
4,2019-01-06,Awne Osinga,Kenneth Curry,NA,1139,E1,1,1367,2.97,0.77,3.5
5,2019-01-06,Awne Osinga,Anshul Swamy,NA,1160,E1,0.5,1359,3.72,0.75,4
6,2019-01-22,Awne Osinga,Matthew Francis,11,1712,D1,0,1356,3.82,0.1,4
7,2019-02-05,Awne Osinga,Daniel Hardman,35,1324,D1,0.5,1354,4.36,0.54,4.5
8,2019-02-11,Awne Osinga,Ray Greenwood,40,1284,D1,0,1336,4.95,0.59,4.5
9,2019-02-22,Awne Osinga,Ben Brewer,20,1555,D1,0,1328,5.18,0.23,4.5
10,2019-02-23,Awne Osinga,Margaret Baron,52,850,D1,1,1331,6.08,0.9,5.5
11,2019-02-23,Awne Osinga,Paul Bevan,NA,1300,W1,0,1313,6.65,0.57,5.5
12,2019-02-24,Awne Osinga,Steve Thacker,NA,1430,ECF,1,1333,7.04,0.39,6.5
13,2019-02-24,Awne Osinga,Paul Scott,NA,1581,G1,0,1326,7.25,0.21,6.5
14,2019-03-07,Awne Osinga,Tony Haigh,7,1788,D1,0,1323,7.35,0.1,6.5
15,2019-03-12,Awne Osinga,Kieran Judge,48,1064,D1,0.5,1312,8.19,0.84,7
16,2019-03-19,Awne Osinga,Matthew Francis,11,1712,D1,0,1309,8.29,0.1,7
