name,zone,club,grade,title,last_played,player_key,profile_url
Jose Camacho Collados,E1,NA,2468,IM,2023-05-01,e1 jose camacho collados,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20jose%20camacho%20collados
Daniel Kozusek,E1,NA,2411,FM,2023-04-10,e1 daniel kozusek,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20daniel%20kozusek
Howard Williams,D1,NA,2340,FM,2023-06-02,d1 howard williams,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=d1%20howard%20williams
Ioan Rees,E1,NA,2338,FM,2023-05-01,e1 ioan rees,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20ioan%20rees
Richard Dineley,N1,NA,2316,NA,2023-05-08,n1 richard dineley,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=n1%20richard%20dineley
Alexis Harakis,D1,NA,2313,FM,2023-06-01,d1 alexis harakis,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=d1%20alexis%20harakis
Grzegorz Toczek,E1,NA,2310,FM,2023-04-10,e1 grzegorz toczek,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20grzegorz%20toczek
Elijah Everett,N1,NA,2298,NA,2023-04-09,n1 elijah everett,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=n1%20elijah%20everett
Vianney Domenech,W1,NA,2259,NA,2023-04-25,w1 vianney domenech,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=w1%20vianney%20domenech
Jonathan LB Blackburn,G1,NA,2240,FM,2023-07-02,g1 jonathan lb blackburn,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=g1%20jonathan%20lb%20blackburn
Peter Varley,G1,NA,2232,FM,2023-05-14,g1 peter varley,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=g1%20peter%20varley
Tim Kett,E1,NA,2220,FM,2023-06-27,e1 tim kett,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20tim%20kett
David Jameson,N1,NA,2204,NA,NA,n1 david jameson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=n1%20david%20jameson
Alex Bullen,E1,NA,2201,CM,2023-05-29,e1 alex bullen,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20alex%20bullen
Murray Smith,D1,NA,2200,NA,2023-06-01,d1 murray smith,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=d1%20murray%20smith
Carl Strugnell,E1,NA,2199,FM,NA,e1 carl strugnell,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20carl%20strugnell
Sven Zeidler,N1,NA,2195,FM,2023-05-01,n1 sven zeidler,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=n1%20sven%20zeidler
Ernest Gibiec,E1,NA,2186,NA,2023-04-02,e1 ernest gibiec,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20ernest%20gibiec
Olivia Smith,E1,NA,2180,WFM,2023-05-01,e1 olivia smith,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=e1%20olivia%20smith
Gerry Heap,D1,NA,2174,NA,NA,d1 gerry heap,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=d1%20gerry%20heap
Francis Rayner,G1,NA,2163,NA,NA,g1 francis rayner,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=g1%20francis%20rayner
Charles F Morris,N1,NA,2153,NA,2023-04-25,n1 charles f morris,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=n1%20charles%20f%20morris
Jane Richmond,G1,NA,2152,WFM,2023-03-10,g1 jane richmond,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=g1%20jane%20richmond
Adam Musson,W1,NA,2140,NA,2023-05-31,w1 adam musson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2023/playerDetailView.php?key=w1%20adam%20musson
