GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2014-09-19,Adam Harrison,Daniel Smith,174,850,W1,0,834,0.5,0.5,0
2,2014-11-21,Adam Harrison,Matthew Beresford,186,850,W1,0,818,1,0.5,0
1,2014-07-12,Adam May,Martin Costley,NA,2130,,0.5,1920,0.22,0.22,0.5
2,2014-07-12,Adam May,Faraz Malik,NA,2018,,0.5,1923,0.58,0.36,1
3,2014-07-12,Adam May,Raymond Ilett,NA,2002,,0,1914,0.96,0.38,1
4,2014-07-13,Adam May,Brian Turner,NA,2010,,0.5,1917,1.33,0.37,1.5
5,2014-07-13,Adam May,Henry Brockbank,NA,1866,,0.5,1915,1.9,0.57,2
6,2014-09-11,Adam May,Andrew Di-Vetta,NA,1657,,1,1920,2.72,0.82,3
7,2014-09-15,Adam May,Zhaoquin Peng,NA,2392,GM,0,1917,2.82,0.1,3
8,2014-09-16,Adam May,Patrick Van Hoolandt,NA,2231,FM,0.5,1926,2.95,0.13,3.5
9,2014-09-17,Adam May,Matthew Parry,NA,1816,,0,1911,3.58,0.63,3.5
10,2014-09-18,Adam May,Murat Mejdini,NA,2003,,1,1926,3.96,0.38,4.5
11,2014-09-19,Adam May,Theid Klauner,NA,2057,,0.5,1931,4.27,0.31,5
12,2014-09-20,Adam May,Olaf Steffens,NA,2269,FM,0,1928,4.37,0.1,5
13,2014-09-24,Adam May,Keith Downey,20,1922,,0,1916,4.86,0.49,5
14,2014-09-30,Adam May,Laura Nolan,172,850,,1,1919,5.76,0.9,6
15,2014-10-07,Adam May,Chris Howells,NA,1915,,1,1931,6.26,0.5,7
16,2014-10-10,Adam May,Calum Harris,NA,1727,,1,1937,7,0.74,8
17,2014-10-11,Adam May,Elliott MacNeil,NA,1506,,1,1939,7.9,0.9,9
18,2014-10-11,Adam May,Lee Davis,NA,2093,,0,1933,8.16,0.26,9
19,2014-10-12,Adam May,David Jameson,NA,2172,,0,1929,8.34,0.18,9
20,2014-10-12,Adam May,James Evans,35,1668,,1,1933,9.15,0.81,10
21,2014-10-19,Adam May,Bob Hurn,NA,1726,,1,1939,9.9,0.75,11
22,2014-10-28,Adam May,Wayne Prescott,61,1392,,0.5,1930,10.8,0.9,11.5
23,2014-11-04,Adam May,Matthew Davies,12,2035,,0,1922,11.13,0.33,11.5
24,2014-11-13,Adam May,Damon Davies,NA,1672,,1,1927,11.93,0.8,12.5
25,2014-11-19,Adam May,Martyn Griffiths,28,1781,,0,1910,12.61,0.68,12.5
26,2014-11-28,Adam May,Sven Zeidler,NA,2251,FM,0,1907,0.11,0.11,0
27,2014-11-29,Adam May,Sam Jukes,NA,1709,,1,1913,0.87,0.76,1
28,2014-11-29,Adam May,Nick Davies,NA,1721,,1,1919,1.62,0.75,2
29,2014-11-30,Adam May,Alan Young,5,2138,,0.5,1926,1.83,0.21,2.5
30,2014-11-30,Adam May,Peter Bevan,8,2079,,1,1943,2.11,0.28,3.5
31,2014-12-03,Adam May,Alan Bennett,11,2048,,0.5,1948,2.42,0.31,4
1,2014-09-08,Adrian Davies,Peter Bevan,8,2079,W1,0,1771,0.14,0.14,0
2,2014-09-22,Adrian Davies,Nick Graham,33,1600,W1,1,1777,0.87,0.73,1
3,2014-11-24,Adrian Davies,Andrew Di-Vetta,NA,1657,E1,0.5,1773,1.53,0.66,1.5
4,2014-12-08,Adrian Davies,David Buttell,27,1968,W3,0,1767,1.78,0.25,1.5
5,2014-12-18,Adrian Davies,Andrew Di-Vetta,NA,1685,E2,0,1752,2.4,0.62,1.5
1,2014-09-10,Alan Bean,Paul Meara,73,1316,W1,0,1126,0.26,0.26,0
2,2014-09-17,Alan Bean,Bill Flew,68,1347,W1,0.5,1134,0.49,0.23,0.5
3,2014-09-24,Alan Bean,Gwynne Rhys-Jones,176,850,W1,1,1139,1.33,0.84,1.5
4,2014-10-02,Alan Bean,Nick Graham,33,1600,W1,0,1136,1.43,0.1,1.5
5,2014-10-08,Alan Bean,Aled George,47,1542,W1,0,1133,1.53,0.1,1.5
6,2014-10-15,Alan Bean,Paul Bevan,67,1359,W1,0,1126,1.74,0.21,1.5
