GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2015-02-04,Adam Jenkins,William Newrick,66,1366,G1,1,1396,0.52,0.52,1
2,2015-03-04,Adam Jenkins,John Arthur,58,1507,G1,0,1386,0.85,0.33,1
3,2015-03-11,Adam Jenkins,Brian Hill,79,1188,G1,1,1394,1.6,0.75,2
4,2015-04-01,Adam Jenkins,Dave Connolly,55,1542,G1,0.5,1401,1.88,0.28,2.5
5,2015-04-08,Adam Jenkins,Gareth Yeo,NA,2033,W1,0,1398,1.98,0.1,2.5
1,2015-06-03,Alex Anderson,Billy Ormrod,97,1000,G1,0.5,1010,0.52,0.52,0.5
1,2015-03-07,Anderson Khan,Nayana Kalavala,NA,1045,E1,0,842,0.25,0.25,0
2,2015-03-07,Anderson Khan,Samuel Cook,106,900,G1,0,828,0.68,0.43,0
3,2015-03-07,Anderson Khan,William Latheron,119,850,G1,0,812,1.18,0.5,0
4,2015-03-08,Anderson Khan,Llion Morris,NA,850,N1,1,828,1.68,0.5,1
5,2015-03-08,Anderson Khan,Rishi Paul,NA,876,E1,0,814,2.14,0.46,1
6,2015-03-08,Anderson Khan,Naman Desai,NA,850,E1,1,830,2.64,0.5,2
1,2015-01-14,Andrew Owen,Zane Allford,42,1725,G1,0.5,1840,0.66,0.66,0.5
2,2015-01-21,Andrew Owen,Philip French,NA,1871,E1,0,1829,1.12,0.46,0.5
3,2015-02-17,Andrew Owen,Steve Williams (Cwm),37,1800,G1,1,1840,1.68,0.56,1.5
4,2015-02-24,Andrew Owen,Dave Roberts,51,1593,G1,1,1844,2.49,0.81,2.5
5,2015-02-25,Andrew Owen,Nigel Saunders,26,1936,G1,1,1859,2.86,0.37,3.5
6,2015-03-11,Andrew Owen,Mark Emblem,62,1424,G1,1,1862,3.76,0.9,4.5
7,2015-03-24,Andrew Owen,Mark Emblem,62,1424,G1,1,1864,4.66,0.9,5.5
8,2015-04-01,Andrew Owen,Hiram Rogers,52,1583,G1,0.5,1856,5.48,0.82,6
1,2015-01-24,Anna Boyle,William (Bill) Read,NA,1282,ECF,0,974,0.14,0.14,0
2,2015-01-24,Anna Boyle,Benjamin Duxbury,NA,850,ECF,1,984,0.81,0.67,1
