name,zone,club,grade,title,last_played,player_key,profile_url,Pld,name_clean
Adrian Cucu,N1,NA,1514,NA,NA,66,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=66,19,adrian cucu
Amrit Bolina,N1,NA,1118,NA,NA,88,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=88,1,amrit bolina
Andrew Camp,N1,NA,1290,NA,NA,81,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=81,6,andrew camp
Andy Smith,N1,NA,1617,NA,NA,51,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=51,12,andy smith
Anton Petkov,N1,NA,1537,NA,NA,64,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=64,14,anton petkov
Arun Thirunavukarasu,N1,NA,1225,NA,NA,112,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=112,27,arun thirunavukarasu
Barrie Hird,N1,NA,1572,NA,NA,59,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=59,58,barrie hird
Barrie Wells,N1,NA,1797,NA,NA,24,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=24,20,barrie wells
Ben Barnes,N1,NA,1070,NA,NA,91,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=91,9,ben barnes
Brandon Shaw,N1,NA,850,NA,NA,104,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=104,9,brandon shaw
Brendan Shields,N1,NA,1717,NA,NA,36,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=36,1,brendan shields
Brian Jones,N1,NA,1256,NA,NA,82,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=82,7,brian jones
Brian Lowens,N1,NA,1578,NA,NA,58,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=58,14,brian lowens
Catherine Davies,N1,NA,954,NA,NA,96,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=96,26,catherine davies
Catriona Coutts,N1,NA,1200,NA,NA,109,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=109,11,catriona coutts
Celeste McCrann,N1,NA,1590,NA,NA,55,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=55,2,celeste mccrann
Charles F Morris,N1,NA,2181,NA,NA,2,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=2,20,charles f morris
Charles L Higgie,N1,NA,2026,NA,NA,10,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=10,19,charles l higgie
Cliff Rice,N1,NA,1849,NA,NA,18,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=18,12,cliff rice
Colin Adrian Roberts,N1,NA,1693,NA,NA,38,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=38,2,colin adrian roberts
Dafydd Lee,N1,NA,974,NA,NA,95,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=95,13,dafydd lee
Daniel Koehler,N1,NA,1592,NA,NA,54,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=54,9,daniel koehler
Danny Heath,N1,NA,1485,NA,NA,68,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=68,10,danny heath
David J James,N1,NA,2159,NA,NA,3,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=3,14,david j james
David Jameson,N1,NA,2138,NA,NA,4,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=4,58,david jameson
Davin Menon,N1,NA,2001,NA,NA,108,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=108,5,davin menon
Deio Parri,N1,NA,1751,NA,NA,33,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=33,13,deio parri
Dewi Jones,N1,NA,1610,NA,NA,52,https://www.welshchessunion.uk/Grading/xarchive/north/JanJune2016/pr.php?id=52,23,dewi jones
